;ncbi_gene_ID;HGNC;name;summary;ensembl_gene_id;refseq_accession;uniprot_ids;omim_id;orphanet;mane_select;gene_ID
0;4363;ABCC1;ATP binding cassette subfamily C member 1 (ABCC1 blood group);The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra-and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This full transporter is a member of the MRP subfamily which is involved in multi-drug resistance. This protein functions as a multispecific organic anion transporter, with oxidized glutatione, cysteinyl leukotrienes, and activated aflatoxin B1 as substrates. This protein also transports glucuronides and sulfate conjugates of steroid hormones and bile salts. Alternatively spliced variants of this gene have been described but their full-length nature is unknown. [provided by RefSeq, Apr 2012];ENSG00000103222;NM_004996;P33527;158343;469890.0;ENST00000399410.8|NM_004996.4;gene_ID_0
1;104;ADARB1;adenosine deaminase RNA specific B1;This gene encodes the enzyme responsible for pre-mRNA editing of the glutamate receptor subunit B by site-specific deamination of adenosines. Studies in rat found that this enzyme acted on its own pre-mRNA molecules to convert an AA dinucleotide to an AI dinucleotide which resulted in a new splice site. Alternative splicing of this gene results in several transcript variants, some of which have been characterized by the presence or absence of an ALU cassette insert and a short or long C-terminal region. [provided by RefSeq, Jul 2008];ENSG00000197381;NM_015833;P78563;601218;;ENST00000348831.9|NM_001112.4;gene_ID_1
2;3730;ANOS1;anosmin 1;Mutations in this gene cause the X-linked Kallmann syndrome. The encoded protein is similar in sequence to proteins known to function in neural cell adhesion and axonal migration. In addition, this cell surface protein is N-glycosylated and may have anti-protease activity. [provided by RefSeq, Jul 2008];ENSG00000011201;NM_000216;P23352;300836;122751.0;ENST00000262648.8|NM_000216.4;gene_ID_2
3;54880;BCOR;BCL6 corepressor;The protein encoded by this gene was identified as an interacting corepressor of BCL6, a POZ/zinc finger transcription repressor that is required for germinal center formation and may influence apoptosis. This protein selectively interacts with the POZ domain of BCL6, but not with eight other POZ proteins. Specific class I and II histone deacetylases (HDACs) have been shown to interact with this protein, which suggests a possible link between the two classes of HDACs. Several transcript variants encoding different isoforms have been found for this gene. A pseudogene of this gene is found on chromosome Y.[provided by RefSeq, Jun 2010];ENSG00000183337;NM_017745;Q6W2J9;300485;119012.0;ENST00000378444.9|NM_001123385.2;gene_ID_3
4;8913;CACNA1G;calcium voltage-gated channel subunit alpha1 G;Voltage-sensitive calcium channels mediate the entry of calcium ions into excitable cells, and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division, and cell death. This gene encodes a T-type, low-voltage activated calcium channel. The T-type channels generate currents that are both transient, owing to fast inactivation, and tiny, owing to small conductance. T-type channels are thought to be involved in pacemaker activity, low-threshold calcium spikes, neuronal oscillations and resonance, and rebound burst firing. Many alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Sep 2011];ENSG00000006283;NM_018896;O43497;604065;460876.0;ENST00000359106.10|NM_018896.5;gene_ID_4
5;998;CDC42;cell division cycle 42;The protein encoded by this gene is a small GTPase of the Rho-subfamily, which regulates signaling pathways that control diverse cellular functions including cell morphology, migration, endocytosis and cell cycle progression. This protein is highly similar to Saccharomyces cerevisiae Cdc 42, and is able to complement the yeast cdc42-1 mutant. The product of oncogene Dbl was reported to specifically catalyze the dissociation of GDP from this protein. This protein could regulate actin polymerization through its direct binding to Neural Wiskott-Aldrich syndrome protein (N-WASP), which subsequently activates Arp2/3 complex. Alternative splicing of this gene results in multiple transcript variants. Pseudogenes of this gene have been identified on chromosomes 3, 4, 5, 7, 8 and 20. [provided by RefSeq, Apr 2013];ENSG00000070831;NM_001791;P60953;116952;470056.0;ENST00000656825.1|NM_001791.4;gene_ID_5
6;1185;CLCN6;chloride voltage-gated channel 6;This gene encodes a member of the voltage-dependent chloride channel protein family. Members of this family can function as either chloride channels or antiporters. This protein is primarily localized to late endosomes and functions as a chloride/proton antiporter. Alternate splicing results in both coding and non-coding variants. Additional alternately spliced variants have been described but their full-length structure is unknown. [provided by RefSeq, Mar 2012];ENSG00000011021;NM_001286;P51797;602726;;ENST00000346436.11|NM_001286.5;gene_ID_6
7;4849;CNOT3;CCR4-NOT transcription complex subunit 3;Involved in regulation of stem cell population maintenance. Part of CCR4-NOT complex. [provided by Alliance of Genome Resources, Jul 2025];ENSG00000088038;NM_014516;O75175;604910;352239.0;ENST00000221232.11|NM_014516.4;gene_ID_7
8;1340;COX6B1;cytochrome c oxidase subunit 6B1;Cytochrome c oxidase (COX), the terminal enzyme of the mitochondrial respiratory chain, catalyzes the electron transfer from reduced cytochrome c to oxygen. It is a heteromeric complex consisting of 3 catalytic subunits encoded by mitochondrial genes and multiple structural subunits encoded by nuclear genes. The mitochondrially-encoded subunits function in electron transfer, and the nuclear-encoded subunits may be involved in the regulation and assembly of the complex. This nuclear gene encodes subunit VIb. Mutations in this gene are associated with severe infantile encephalomyopathy. Three pseudogenes COX6BP-1, COX6BP-2 and COX6BP-3 have been found on chromosomes 7, 17 and 22q13.1-13.2, respectively. [provided by RefSeq, Jan 2010];ENSG00000126267;NM_001863;P14854;124089;167892.0;ENST00000649813.2|NM_001863.5;gene_ID_8
9;10815;CPLX1;complexin 1;Proteins encoded by the complexin/synaphin gene family are cytosolic proteins that function in synaptic vesicle exocytosis.  These proteins bind syntaxin, part of the SNAP receptor.  The protein product of this gene binds to the SNAP receptor complex and disrupts it, allowing transmitter release. [provided by RefSeq, Jul 2008];ENSG00000168993;NM_006651;O14810;605032;;ENST00000304062.11|NM_006651.4;gene_ID_9
10;64109;CRLF2;cytokine receptor like factor 2;This gene encodes a member of the type I cytokine receptor family. The encoded protein is a receptor for thymic stromal lymphopoietin (TSLP). Together with the interleukin 7 receptor (IL7R), the encoded protein and TSLP activate STAT3, STAT5, and JAK2 pathways, which control processes such as cell proliferation and development of the hematopoietic system. Rearrangement of this gene with immunoglobulin heavy chain gene (IGH) on chromosome 14, or with P2Y purinoceptor 8 gene (P2RY8) on the same X or Y chromosomes is associated with B-progenitor acute lymphoblastic leukemia (ALL) and Down syndrome ALL. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Sep 2014];ENSG00000205755;NM_022148;Q9HC73;300357|400023;;ENST00000400841.8|NM_022148.4;gene_ID_10
11;23259;DDHD2;DDHD domain containing 2;This gene encodes a phospholipase enzyme containing sterile-alpha-motif (SAM), WWE, and DDHD domains. This protein participates in membrane trafficking between the endoplastic reticulum and the Golgi body. Mutations in this gene can cause autosomal recessive spastic paraplegia 54. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2013];ENSG00000085788;NM_015214;O94830;615003;321575.0;ENST00000397166.7|NM_015214.3;gene_ID_11
12;85359;DGCR6L;DiGeorge syndrome critical region gene 6 like;This gene, the result of a duplication at this locus, is one of two functional genes encoding nearly identical proteins that have similar expression patterns. The product of this gene is a protein that shares homology with the Drosophila gonadal protein, expressed in gonadal tissues and germ cells, and with the human laminin gamma-1 chain that functions in cell attachment and migration. This gene is located in a region of chromosome 22 implicated in the DiGeorge syndrome, one facet of a broader collection of anomalies referred to as the CATCH 22 syndrome. [provided by RefSeq, Jul 2008];ENSG00000128185;NM_033257;Q9BY27;609459;;ENST00000248879.8|NM_033257.4;gene_ID_12
13;1896;EDA;ectodysplasin A;The protein encoded by this gene is a type II membrane protein that can be cleaved by furin to produce a secreted form. The encoded protein, which belongs to the tumor necrosis factor family, acts as a homotrimer and may be involved in cell-cell signaling during the development of ectodermal organs. Defects in this gene are a cause of ectodermal dysplasia, anhidrotic, which is also known as X-linked hypohidrotic ectodermal dysplasia. Several transcript variants encoding many different isoforms have been found for this gene. [provided by RefSeq, Jul 2008];ENSG00000158813;NM_001399;Q92838;300451;121263.0;ENST00000374552.9|NM_001399.5;gene_ID_13
14;1910;EDNRB;endothelin receptor type B;The protein encoded by this gene is a G protein-coupled receptor which activates a phosphatidylinositol-calcium second messenger system. Its ligand, endothelin, consists of a family of three potent vasoactive peptides: ET1, ET2, and ET3. Studies suggest that the multigenic disorder, Hirschsprung disease type 2, is due to mutations in the endothelin receptor type B gene. Alternative splicing and the use of alternative promoters results in multiple transcript variants. [provided by RefSeq, Oct 2016];ENSG00000136160;NM_000115;P24530;131244;121287.0;ENST00000646607.2|NM_001122659.3;gene_ID_14
15;79813;EHMT1;euchromatic histone lysine methyltransferase 1;The protein encoded by this gene is a histone methyltransferase that methylates the lysine-9 position of histone H3. This action marks the genomic region packaged with these methylated histones for transcriptional repression. This protein may be involved in the silencing of MYC- and E2F-responsive genes and therefore could play a role in the G0/G1 cell cycle transition. Defects in this gene are a cause of chromosome 9q subtelomeric deletion syndrome (9q-syndrome, also known as Kleefstra syndrome). Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2017];ENSG00000181090;NM_024757;Q9H9B1;607001;226051.0;ENST00000460843.6|NM_024757.5;gene_ID_15
16;2177;FANCD2;FA complementation group D2;"The Fanconi anemia complementation group (FANC) currently includes FANCA, FANCB, FANCC, FANCD1 (also called BRCA2), FANCD2, FANCE, FANCF, FANCG, FANCI, FANCJ (also called BRIP1), FANCL, FANCM and FANCN (also called PALB2). The previously defined group FANCH is the same as FANCA. Fanconi anemia is a genetically heterogeneous recessive disorder characterized by cytogenetic instability, hypersensitivity to DNA crosslinking agents, increased chromosomal breakage, and defective DNA repair. The members of the Fanconi anemia complementation group do not share sequence similarity; they are related by their assembly into a common nuclear protein complex. This gene encodes the protein for complementation group D2. This protein is monoubiquinated in response to DNA damage, resulting in its localization to nuclear foci with other proteins (BRCA1 AND BRCA2) involved in homology-directed DNA repair. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2016]";ENSG00000144554;NM_001018115;Q9BXW9;613984;121709.0;ENST00000675286.1|NM_001018115.3;gene_ID_16
